HW,kernel,stride,Cin,Cout,FLOPs,latency
224,5,1,256,64,41104179200,248.993
224,5,1,256,128,82208358400,370.652
224,5,1,256,256,1.64417E+11,635.781
224,5,1,256,512,3.28833E+11,1111.745
224,5,1,256,1024,6.57667E+11,2118.224
224,5,1,512,3,3853516800,305.483
224,5,1,512,32,41104179200,449.513
224,5,1,512,64,82208358400,492.144
224,5,1,512,128,1.64417E+11,744.599
224,5,1,512,256,3.28833E+11,1256.353
224,5,1,512,512,6.57667E+11,2277.067
224,5,1,512,1024,1.31533E+12,4267.893
224,5,1,1024,3,7707033600,605.166
224,5,1,1024,32,82208358400,890.338
224,5,1,1024,64,1.64417E+11,996.736
224,5,1,1024,128,3.28833E+11,1534.008
224,5,1,1024,256,6.57667E+11,2537.778
224,5,1,1024,512,1.31533E+12,4528.34
224,5,1,1024,1024,2.63067E+12,8677.482
224,5,2,3,3,5644800,0.748
224,5,2,3,32,60211200,1.438
224,5,2,3,64,120422400,1.753
224,5,2,3,128,240844800,2.877
224,5,2,3,256,481689600,4.83
224,5,2,3,512,963379200,6.276
224,5,2,3,1024,1926758400,12.488
224,5,2,32,3,60211200,6.866
224,5,2,32,32,642252800,11.927
224,5,2,32,64,1284505600,18.836
224,5,2,32,128,2569011200,20.105
224,5,2,32,256,5138022400,29.121
224,5,2,32,512,10276044800,37.998
224,5,2,32,1024,20552089600,64.728
224,5,2,64,3,120422400,13.543
224,5,2,64,32,1284505600,20.415
224,5,2,64,64,2569011200,28.954
224,5,2,64,128,5138022400,32.14
224,5,2,64,256,10276044800,42.358
224,5,2,64,512,20552089600,69.246
224,5,2,64,1024,41104179200,124.196
224,5,2,128,3,240844800,30.391
224,5,2,128,32,2569011200,45.657
224,5,2,128,64,5138022400,52.099
224,5,2,128,128,10276044800,64.383
224,5,2,128,256,20552089600,85.849
224,5,2,128,512,41104179200,140.594
224,5,2,128,1024,82208358400,263.892
224,5,2,256,3,481689600,64.044
224,5,2,256,32,5138022400,84.103
224,5,2,256,64,10276044800,97.032
224,5,2,256,128,20552089600,126.982
224,5,2,256,256,41104179200,175.239
224,5,2,256,512,82208358400,302.957
224,5,2,256,1024,1.64417E+11,546.333
224,5,2,512,3,963379200,108.228
224,5,2,512,32,10276044800,168.269
224,5,2,512,64,20552089600,196.149
224,5,2,512,128,41104179200,239.048
224,5,2,512,256,82208358400,354.246
224,5,2,512,512,1.64417E+11,600.584
