HW,output,Cin,latency
32,13,303,0.169
32,13,333,0.205
32,13,363,0.194
32,13,393,0.194
32,13,423,0.25
32,13,453,0.23
32,13,483,0.228
32,13,513,0.278
32,13,543,0.313
32,13,573,0.281
32,13,603,0.271
32,13,633,0.319
32,13,663,0.304
32,13,693,0.298
32,13,723,0.328
32,13,753,0.327
32,13,783,0.346
32,13,813,0.358
32,13,843,0.377
32,13,873,0.366
32,13,903,0.365
32,13,933,0.382
32,13,963,0.417
32,13,993,0.42
32,13,1023,0.438
32,8,3,0.021
32,8,33,0.05
32,8,63,0.062
32,8,93,0.068
32,8,123,0.084
32,8,153,0.115
32,8,183,0.127
32,8,213,0.127
32,8,243,0.143
32,8,273,0.14
32,8,303,0.175
32,8,333,0.141
32,8,363,0.155
32,8,393,0.211
32,8,423,0.19
32,8,453,0.205
32,8,483,0.174
32,8,513,0.19
32,8,543,0.2
32,8,573,0.227
32,8,603,0.239
32,8,633,0.241
32,8,663,0.236
32,8,693,0.234
32,8,723,0.278
32,8,753,0.275
32,8,783,0.239
32,8,813,0.233
32,8,843,0.253
32,8,873,0.234
32,8,903,0.242
32,8,933,0.309
32,8,963,0.272
32,8,993,0.296
32,8,1023,0.337
32,7,3,0.034
32,7,33,0.048
32,7,63,0.063
32,7,93,0.082
32,7,123,0.082
32,7,153,0.09
32,7,183,0.126
32,7,213,0.139
32,7,243,0.136
32,7,273,0.136
32,7,303,0.14
32,7,333,0.147
32,7,363,0.148
32,7,393,0.183
32,7,423,0.2
32,7,453,0.184
32,7,483,0.228
32,7,513,0.217
32,7,543,0.206
32,7,573,0.244
32,7,603,0.253
32,7,633,0.257
32,7,663,0.279
32,7,693,0.256
32,7,723,0.291
32,7,753,0.309
32,7,783,0.3
32,7,813,0.271
32,7,843,0.3
32,7,873,0.318
32,7,903,0.351
32,7,933,0.316
32,7,963,0.348
32,7,993,0.358
32,7,1023,0.361
32,6,3,0.039
32,6,33,0.049
32,6,63,0.067
32,6,93,0.069
32,6,123,0.084
32,6,153,0.084
32,6,183,0.088
32,6,213,0.092
32,6,243,0.138
32,6,273,0.145
32,6,303,0.15
32,6,333,0.168
32,6,363,0.165
32,6,393,0.172
32,6,423,0.198
32,6,453,0.182
32,6,483,0.193
32,6,513,0.231
32,6,543,0.218
32,6,573,0.213
32,6,603,0.211
32,6,633,0.253
32,6,663,0.251
32,6,693,0.252
32,6,723,0.276
32,6,753,0.279
32,6,783,0.329
32,6,813,0.271
32,6,843,0.254
32,6,873,0.252
32,6,903,0.324
32,6,933,0.306
