HW,Cin,latency
14,868,0.428
14,873,0.44
14,878,0.481
14,883,0.434
14,888,0.514
14,893,0.459
14,898,0.439
14,903,0.495
14,908,0.474
14,913,0.487
14,918,0.458
14,923,0.451
14,928,0.454
14,933,0.454
14,938,0.487
14,943,0.452
14,948,0.474
14,953,0.465
14,958,0.519
14,963,0.471
14,968,0.483
14,973,0.491
14,978,0.485
14,983,0.52
14,988,0.475
14,993,0.475
14,998,0.502
14,1003,0.501
14,1008,0.555
14,1013,0.525
14,1018,0.493
14,1023,0.528
13,3,0.045
13,8,0.052
13,13,0.057
13,18,0.069
13,23,0.047
13,28,0.047
13,33,0.063
13,38,0.074
13,43,0.075
13,48,0.06
13,53,0.072
13,58,0.072
13,63,0.085
13,68,0.122
13,73,0.09
13,78,0.093
13,83,0.089
13,88,0.088
13,93,0.089
13,98,0.084
13,103,0.101
13,108,0.096
13,113,0.116
13,118,0.097
13,123,0.104
13,128,0.106
13,133,0.116
13,138,0.117
13,143,0.111
13,148,0.114
13,153,0.12
13,158,0.121
13,163,0.121
13,168,0.139
13,173,0.128
13,178,0.132
13,183,0.133
13,188,0.153
13,193,0.148
13,198,0.21
13,203,0.214
13,208,0.222
13,213,0.202
13,218,0.227
13,223,0.182
13,228,0.245
13,233,0.22
13,238,0.22
13,243,0.222
13,248,0.245
13,253,0.254
13,258,0.246
13,263,0.252
13,268,0.196
13,273,0.23
13,278,0.237
13,283,0.261
13,288,0.236
13,293,0.271
13,298,0.23
13,303,0.241
13,308,0.245
13,313,0.252
13,318,0.266
13,323,0.271
13,328,0.263
13,333,0.217
13,338,0.257
13,343,0.282
13,348,0.287
13,353,0.271
13,358,0.289
13,363,0.263
13,368,0.279
13,373,0.284
13,378,0.27
13,383,0.281
13,388,0.293
13,393,0.291
13,398,0.299
13,403,0.325
13,408,0.291
13,413,0.303
13,418,0.28
13,423,0.283
13,428,0.285
13,433,0.29
13,438,0.307
13,443,0.29
13,448,0.292
13,453,0.307
13,458,0.312
13,463,0.303
13,468,0.317
13,473,0.307
13,478,0.331
13,483,0.355
13,488,0.33
13,493,0.34
13,498,0.334
13,503,0.354
13,508,0.353
13,513,0.316
13,518,0.345
13,523,0.382
13,528,0.357
13,533,0.327
13,538,0.36
13,543,0.347
13,548,0.348
13,553,0.358
13,558,0.361
13,563,0.348
13,568,0.377
13,573,0.366
13,578,0.341
13,583,0.387
13,588,0.363
13,593,0.345
13,598,0.369
13,603,0.363
13,608,0.415
13,613,0.36
13,618,0.363
13,623,0.355
13,628,0.399
13,633,0.381
13,638,0.387
13,643,0.397
13,648,0.369
13,653,0.373
13,658,0.363
13,663,0.385
13,668,0.4
13,673,0.396
13,678,0.394
13,683,0.393
13,688,0.396
13,693,0.388
13,698,0.385
13,703,0.421
13,708,0.412
13,713,0.424
13,718,0.41
13,723,0.424
13,728,0.419
13,733,0.421
13,738,0.423
13,743,0.417
13,748,0.413
13,753,0.411
13,758,0.418
13,763,0.434
13,768,0.432
13,773,0.393
13,778,0.458
13,783,0.412
13,788,0.405
13,793,0.402
13,798,0.425
13,803,0.45
13,808,0.431
13,813,0.429
13,818,0.42
13,823,0.426
13,828,0.419
13,833,0.43
13,838,0.436
13,843,0.41
13,848,0.429
13,853,0.456
13,858,0.423
13,863,0.422
13,868,0.459
13,873,0.452
13,878,0.469
13,883,0.444
13,888,0.419
13,893,0.445
13,898,0.419
13,903,0.482
13,908,0.429
13,913,0.447
13,918,0.459
13,923,0.44
13,928,0.516
13,933,0.437
13,938,0.452
13,943,0.449
13,948,0.462
13,953,0.493
13,958,0.454
13,963,0.447
13,968,0.438
13,973,0.475
13,978,0.518
13,983,0.465
13,988,0.473
13,993,0.474
13,998,0.476
13,1003,0.511
13,1008,0.489
13,1013,0.486
13,1018,0.476
13,1023,0.539
8,3,0.061
8,8,0.053
8,13,0.059
8,18,0.069
8,23,0.053
8,28,0.047
8,33,0.066
8,38,0.057
8,43,0.063
8,48,0.053
8,53,0.067
8,58,0.078
8,63,0.07
8,68,0.077
8,73,0.066
8,78,0.087
8,83,0.068
8,88,0.068
8,93,0.07
8,98,0.084
8,103,0.072
8,108,0.088
8,113,0.084
8,118,0.095
8,123,0.09
8,128,0.095
8,133,0.087
8,138,0.101
8,143,0.088
8,148,0.09
8,153,0.101
8,158,0.095
8,163,0.096
8,168,0.097
8,173,0.11
8,178,0.103
8,183,0.106
8,188,0.109
8,193,0.109
8,198,0.109
8,203,0.112
8,208,0.111
8,213,0.129
8,218,0.12
8,223,0.12
8,228,0.12
8,233,0.132
8,238,0.143
8,243,0.134
8,248,0.133
8,253,0.139
8,258,0.145
8,263,0.141
8,268,0.153
8,273,0.151
8,278,0.15
8,283,0.149
8,288,0.173
8,293,0.159
8,298,0.157
8,303,0.184
8,308,0.163
8,313,0.168
8,318,0.166
8,323,0.176
8,328,0.169
8,333,0.173
8,338,0.178
8,343,0.178
8,348,0.186
8,353,0.188
8,358,0.193
8,363,0.193
8,368,0.2
8,373,0.198
8,378,0.195
8,383,0.195
8,388,0.203
8,393,0.208
8,398,0.2
8,403,0.217
8,408,0.211
8,413,0.203
8,418,0.209
8,423,0.234
8,428,0.216
8,433,0.213
8,438,0.228
8,443,0.231
8,448,0.224
8,453,0.234
8,458,0.233
8,463,0.229
8,468,0.244
8,473,0.234
8,478,0.249
8,483,0.242
8,488,0.246
8,493,0.247
8,498,0.25
