HW,kernel,stride,Cin,FLOPs,latency
56,7,1,256,438653440,21.495
56,7,1,512,1613669376,43.148
56,7,1,1024,6172788736,82.563
56,7,2,3,227448,0.241
56,7,2,6,481140,0.405
56,7,2,8,664848,0.538
56,7,2,16,1516320,0.983
56,7,2,32,3779136,1.919
56,7,2,64,10544256,3.742
56,7,2,128,33032448,7.544
56,7,2,256,113840640,15.229
56,7,2,512,418784256,30.619
56,7,2,1024,1601980416,60.289
56,7,4,3,61152,0.159
56,7,4,6,129360,0.309
56,7,4,8,178752,0.339
56,7,4,16,407680,0.607
56,7,4,32,1016064,1.131
56,7,4,64,2834944,2.249
56,7,4,128,8881152,4.587
56,7,4,256,30607360,9.375
56,7,4,512,112594944,19.2
56,7,4,1024,430710784,40.9
56,9,1,3,1362816,0.441
56,9,1,6,2822976,0.808
56,9,1,8,3850496,1.017
56,9,1,16,8393216,1.897
56,9,1,32,19555328,3.533
56,9,1,64,50186240,6.936
56,9,1,128,144674816,14.376
56,9,1,256,466558976,28.965
56,9,1,512,1641955328,58.074
56,9,1,1024,6119260160,112.515
56,9,2,3,353934,0.278
56,9,2,6,733149,0.506
56,9,2,8,1000004,0.652
56,9,2,16,2179784,1.213
56,9,2,32,5078672,2.287
56,9,2,64,13033760,4.496
56,9,2,128,37573184,9.089
56,9,2,256,121169024,18.271
56,9,2,512,426428672,35.94
56,9,2,1024,1589219840,71.142
56,9,4,3,95287.5,0.165
56,9,4,6,197381.25,0.36
56,9,4,8,269225,0.483
56,9,4,16,586850,0.851
56,9,4,32,1367300,1.529
56,9,4,64,3509000,3.014
56,9,4,128,10115600,6.062
56,9,4,256,32621600,12.294
56,9,4,512,114804800,24.777
56,9,4,1024,427856000,49.118
32,1,1,3,24576,0.021
32,1,1,6,86016,0.037
32,1,1,8,147456,0.047
32,1,1,16,557056,0.088
32,1,1,32,2162688,0.17
32,1,1,64,8519680,0.333
32,1,1,128,33816576,0.66
32,1,1,256,134742016,1.339
32,1,1,512,537919488,2.767
32,1,1,1024,2149580800,5.645
32,1,2,3,6534,0.02
32,1,2,6,22869,0.034
32,1,2,8,39204,0.043
32,1,2,16,148104,0.08
32,1,2,32,574992,0.153
32,1,2,64,2265120,0.351
32,1,2,128,8990784,0.646
32,1,2,256,35823744,1.249
32,1,2,512,143016192,2.504
32,1,2,1024,571507200,4.992
32,1,4,3,1837.5,0.02
32,1,4,6,6431.25,0.034
32,1,4,8,11025,0.043
32,1,4,16,41650,0.078
32,1,4,32,161700,0.149
32,1,4,64,637000,0.293
32,1,4,128,2528400,0.576
32,1,4,256,10074400,1.205
32,1,4,512,40219200,2.409
32,1,4,1024,160720000,4.804
32,3,1,3,69192,0.023
32,3,1,6,172980,0.028
32,3,1,8,261392,0.038
32,3,1,16,768800,0.073
32,3,1,32,2521664,0.079
32,3,1,64,8979584,0.113
32,3,1,128,33704192,0.175
32,3,1,256,130388480,0.311
32,3,1,512,512697344,0.616
32,3,1,1024,2033076224,0.94
32,3,2,3,18432,0.124
32,3,2,6,46080,0.206
32,3,2,8,69632,0.245
32,3,2,16,204800,0.42
32,3,2,32,671744,0.812
32,3,2,64,2392064,1.556
32,3,2,128,8978432,3.035
32,3,2,256,34734080,6.053
32,3,2,512,136577024,12.319
32,3,2,1024,541589504,25.417
32,3,4,3,5202,0.112
32,3,4,6,13005,0.196
32,3,4,8,19652,0.236
32,3,4,16,57800,0.392
32,3,4,32,189584,0.714
32,3,4,64,675104,1.362
32,3,4,128,2533952,2.645
32,3,4,256,9802880,5.346
32,3,4,512,38545664,10.96
32,3,4,1024,152850944,23.264
32,5,1,3,151200,0.156
32,5,1,6,334800,0.233
32,5,1,8,475200,0.298
32,5,1,16,1180800,0.581
32,5,1,32,3283200,1.054
32,5,1,64,10252800,2.025
32,5,1,128,35251200,4.066
32,5,1,256,129484800,8.088
32,5,1,512,494899200,16.467
32,5,1,1024,1933516800,33.408
32,5,2,3,40362,0.12
32,5,2,6,89373,0.225
32,5,2,8,126852,0.277
32,5,2,16,315208,0.473
32,5,2,32,876432,0.912
32,5,2,64,2736928,1.769
32,5,2,128,9410112,3.496
