HW,kernel,stride,Cin,latency
32,5,4,103,0.159
32,5,4,153,0.265
32,5,4,203,0.271
32,5,4,253,0.324
32,5,4,303,0.392
32,5,4,353,0.449
32,5,4,403,0.483
32,5,4,453,0.616
32,5,4,503,0.63
32,5,4,553,0.643
32,5,4,603,0.695
32,5,4,653,0.687
32,5,4,703,0.746
32,5,4,753,0.867
32,5,4,803,0.86
32,5,4,853,0.901
32,5,4,903,0.953
32,5,4,953,0.993
32,5,4,1003,1.106
32,7,1,3,0.123
32,7,1,53,1.381
32,7,1,103,2.649
32,7,1,153,3.851
32,7,1,203,5.171
32,7,1,253,6.355
32,7,1,303,7.707
32,7,1,353,8.914
32,7,1,403,10.239
32,7,1,453,11.406
32,7,1,503,12.593
32,7,1,553,13.807
32,7,1,603,15.026
32,7,1,653,16.372
32,7,1,703,17.529
32,7,1,753,18.615
32,7,1,803,20.078
32,7,1,853,20.359
32,7,1,903,23.744
32,7,1,953,23.672
32,7,1,1003,24.619
32,7,2,3,0.068
32,7,2,53,0.445
32,7,2,103,0.78
32,7,2,153,1.089
32,7,2,203,1.373
32,7,2,253,1.803
32,7,2,303,2.028
32,7,2,353,2.457
32,7,2,403,2.647
32,7,2,453,3.008
32,7,2,503,3.269
32,7,2,553,3.653
32,7,2,603,3.965
32,7,2,653,4.132
32,7,2,703,4.568
32,7,2,753,4.991
32,7,2,803,5.15
32,7,2,853,5.466
32,7,2,903,5.844
32,7,2,953,6.212
32,7,2,1003,6.414
32,7,4,3,0.054
32,7,4,53,0.143
32,7,4,103,0.243
32,7,4,153,0.419
32,7,4,203,0.505
32,7,4,253,0.569
32,7,4,303,0.65
32,7,4,353,0.693
32,7,4,403,0.929
32,7,4,453,1.02
32,7,4,503,1.024
32,7,4,553,1.114
32,7,4,603,1.245
32,7,4,653,1.268
32,7,4,703,1.437
32,7,4,753,1.523
32,7,4,803,1.509
32,7,4,853,1.668
32,7,4,903,1.708
32,7,4,953,1.776
32,7,4,1003,1.885
32,9,1,3,0.203
32,9,1,53,2.434
32,9,1,103,4.623
32,9,1,153,6.796
32,9,1,203,9.025
32,9,1,253,11.339
32,9,1,303,13.292
32,9,1,353,15.409
32,9,1,403,17.992
32,9,1,453,19.327
32,9,1,503,21.641
32,9,1,553,23.479
32,9,1,603,24.954
32,9,1,653,27.156
32,9,1,703,30.258
32,9,1,753,33.043
32,9,1,803,34.188
32,9,1,853,36.428
32,9,1,903,38.59
32,9,1,953,42.104
32,9,1,1003,43.514
32,9,2,3,0.075
32,9,2,53,0.723
32,9,2,103,1.311
32,9,2,153,1.76
32,9,2,203,2.432
32,9,2,253,2.914
32,9,2,303,3.566
32,9,2,353,4.106
32,9,2,403,4.629
32,9,2,453,5.197
32,9,2,503,5.792
32,9,2,553,6.241
32,9,2,603,6.789
32,9,2,653,7.325
32,9,2,703,7.986
32,9,2,753,8.487
32,9,2,803,8.996
32,9,2,853,9.679
32,9,2,903,10.116
32,9,2,953,10.583
32,9,2,1003,11.223
32,9,4,3,0.05
32,9,4,53,0.219
32,9,4,103,0.399
32,9,4,153,0.589
32,9,4,203,0.769
32,9,4,253,0.909
32,9,4,303,1.043
32,9,4,353,1.156
32,9,4,403,1.292
32,9,4,453,1.515
32,9,4,503,1.608
32,9,4,553,1.75
32,9,4,603,1.973
32,9,4,653,1.988
32,9,4,703,2.225
32,9,4,753,2.388
