in_features,out_features,FLOPs,latency
1060,3760,7967440,1.316
1060,3910,8285290,1.268
1060,4060,8603140,1.371
1060,4210,8920990,1.194
1060,4360,9238840,1.352
1060,4510,9556690,1.254
1060,4660,9874540,1.447
1060,4810,10192390,1.376
1060,4960,10510240,1.388
1060,5110,10828090,1.602
1060,5260,11145940,1.524
1060,5410,11463790,1.647
1060,5560,11781640,1.664
1060,5710,12099490,1.734
1060,5860,12417340,1.847
1060,6010,12735190,1.882
1060,6160,13053040,1.993
1060,6310,13370890,2.033
1060,6460,13688740,2.107
1060,6610,14006590,2.033
1060,6760,14324440,2.13
1060,6910,14642290,2.113
1060,7060,14960140,2.16
1060,7210,15277990,2.336
1060,7360,15595840,3.102
1060,7510,15913690,2.367
1060,7660,16231540,2.683
1060,7810,16549390,2.425
1060,7960,16867240,2.602
1060,8110,17185090,2.573
1210,10,24190,0.011
1210,160,387040,0.06
1210,310,749890,0.188
1210,460,1112740,0.236
1210,610,1475590,0.293
1210,760,1838440,0.365
1210,910,2201290,0.299
1210,1060,2564140,0.42
1210,1210,2926990,0.387
1210,1360,3289840,0.385
1210,1510,3652690,0.451
1210,1660,4015540,0.463
1210,1810,4378390,0.479
1210,1960,4741240,0.617
1210,2110,5104090,0.704
1210,2260,5466940,0.714
1210,2410,5829790,0.735
1210,2560,6192640,0.823
1210,2710,6555490,1.038
1210,2860,6918340,0.906
1210,3010,7281190,1.133
1210,3160,7644040,1.176
1210,3310,8006890,1.232
1210,3460,8369740,1.179
1210,3610,8732590,1.432
1210,3760,9095440,1.291
1210,3910,9458290,1.377
1210,4060,9821140,1.726
1210,4210,10183990,1.331
1210,4360,10546840,1.532
1210,4510,10909690,1.473
1210,4660,11272540,1.549
1210,4810,11635390,1.669
1210,4960,11998240,1.658
1210,5110,12361090,1.925
1210,5260,12723940,1.854
1210,5410,13086790,2
1210,5560,13449640,1.942
1210,5710,13812490,2.087
1210,5860,14175340,1.968
1210,6010,14538190,2.146
1210,6160,14901040,2.107
1210,6310,15263890,2.281
1210,6460,15626740,2.254
1210,6610,15989590,2.26
1210,6760,16352440,2.471
1210,6910,16715290,2.358
1210,7060,17078140,2.63
1210,7210,17440990,2.611
1210,7360,17803840,2.53
1210,7510,18166690,2.82
1210,7660,18529540,2.77
1210,7810,18892390,2.743
1210,7960,19255240,2.943
1210,8110,19618090,2.934
1360,10,27190,0.012
1360,160,435040,0.067
1360,310,842890,0.206
1360,460,1250740,0.239
1360,610,1658590,0.308
1360,760,2066440,0.274
1360,910,2474290,0.348
1360,1060,2882140,0.313
1360,1210,3289990,0.368
1360,1360,3697840,0.382
1360,1510,4105690,0.489
1360,1660,4513540,0.455
1360,1810,4921390,0.791
1360,1960,5329240,0.565
1360,2110,5737090,0.623
1360,2260,6144940,1.046
1360,2410,6552790,0.936
1360,2560,6960640,0.781
1360,2710,7368490,0.966
1360,2860,7776340,0.89
1360,3010,8184190,1.155
1360,3160,8592040,1.001
1360,3310,8999890,1.16
1360,3460,9407740,1.292
1360,3610,9815590,1.164
1360,3760,10223440,1.278
1360,3910,10631290,1.387
1360,4060,11039140,1.327
1360,4210,11446990,1.274
1360,4360,11854840,1.279
1360,4510,12262690,1.327
1360,4660,12670540,1.534
1360,4810,13078390,1.435
1360,4960,13486240,1.524
1360,5110,13894090,1.518
1360,5260,14301940,1.555
1360,5410,14709790,1.741
1360,5560,15117640,1.643
1360,5710,15525490,1.818
1360,5860,15933340,1.818
1360,6010,16341190,2.043
1360,6160,16749040,1.91
1360,6310,17156890,2.052
1360,6460,17564740,1.989
1360,6610,17972590,2.118
1360,6760,18380440,2.129
1360,6910,18788290,2.231
1360,7060,19196140,2.294
1360,7210,19603990,2.229
1360,7360,20011840,2.386
1360,7510,20419690,2.355
1360,7660,20827540,2.451
1360,7810,21235390,2.569
1360,7960,21643240,2.534
1360,8110,22051090,2.564
1510,10,30190,0.011
1510,160,483040,0.072
1510,310,935890,0.243
1510,460,1388740,0.261
1510,610,1841590,0.336
1510,760,2294440,0.298
1510,910,2747290,0.344
1510,1060,3200140,0.38
1510,1210,3652990,0.437
1510,1360,4105840,0.505
1510,1510,4558690,0.774
1510,1660,5011540,0.64
1510,1810,5464390,0.693
1510,1960,5917240,0.815
1510,2110,6370090,1.05
1510,2260,6822940,1.223
1510,2410,7275790,1.061
1510,2560,7728640,1.351
1510,2710,8181490,1.209
1510,2860,8634340,1.314
1510,3010,9087190,1.632
1510,3160,9540040,1.507
1510,3310,9992890,1.754
1510,3460,10445740,1.645
1510,3610,10898590,1.955
1510,3760,11351440,1.889
1510,3910,11804290,2.066
1510,4060,12257140,2.064
1510,4210,12709990,2.015
1510,4360,13162840,2.012
1510,4510,13615690,2.132
1510,4660,14068540,2.123
1510,4810,14521390,2.348
1510,4960,14974240,2.227
1510,5110,15427090,2.343
1510,5260,15879940,2.444
1510,5410,16332790,2.461
1510,5560,16785640,2.649
1510,5710,17238490,2.819
1510,5860,17691340,3.001
1510,6010,18144190,2.918
1510,6160,18597040,2.882
1510,6310,19049890,2.981
1510,6460,19502740,3.023
1510,6610,19955590,3.082
1510,6760,20408440,3.259
1510,6910,20861290,3.407
1510,7060,21314140,3.267
1510,7210,21766990,3.404
1510,7360,22219840,3.523
1510,7510,22672690,3.65
1510,7660,23125540,3.745
1510,7810,23578390,3.773
1510,7960,24031240,3.851
1510,8110,24484090,4.031
1660,10,33190,0.012
1660,160,531040,0.23
1660,310,1028890,0.248
1660,460,1526740,0.331
1660,610,2024590,0.31
1660,760,2522440,0.299
1660,910,3020290,0.367
1660,1060,3518140,0.46
1660,1210,4015990,0.43
1660,1360,4513840,0.556
1660,1510,5011690,0.574
1660,1660,5509540,0.82
1660,1810,6007390,0.836
1660,1960,6505240,0.938
1660,2110,7003090,0.991
1660,2260,7500940,1.173
1660,2410,7998790,1.118
1660,2560,8496640,1.371
1660,2710,8994490,1.328
1660,2860,9492340,1.364
1660,3010,9990190,1.619
1660,3160,10488040,1.551
1660,3310,10985890,1.804
1660,3460,11483740,1.997
1660,3610,11981590,2.019
1660,3760,12479440,1.997
1660,3910,12977290,2.134
1660,4060,13475140,2.13
1660,4210,13972990,2.066
1660,4360,14470840,2.161
1660,4510,14968690,2.254
1660,4660,15466540,2.303
1660,4810,15964390,2.45
1660,4960,16462240,2.585
1660,5110,16960090,2.397
1660,5260,17457940,2.505
1660,5410,17955790,2.642
1660,5560,18453640,2.702
1660,5710,18951490,2.73
1660,5860,19449340,2.881
1660,6010,19947190,2.894
1660,6160,20445040,2.982
1660,6310,20942890,3.204
1660,6460,21440740,3.177
1660,6610,21938590,3.214
1660,6760,22436440,3.285
1660,6910,22934290,3.403
1660,7060,23432140,3.525
1660,7210,23929990,3.655
1660,7360,24427840,3.878
1660,7510,24925690,3.762
1660,7660,25423540,4.169
1660,7810,25921390,4.13
1660,7960,26419240,4.115
1660,8110,26917090,4.086
1810,10,36190,0.014
1810,160,579040,0.203
1810,310,1121890,0.269
1810,460,1664740,0.343
1810,610,2207590,0.315
1810,760,2750440,0.332
1810,910,3293290,0.396
1810,1060,3836140,0.478
1810,1210,4378990,0.497
1810,1360,4921840,0.658
1810,1510,5464690,0.808
1810,1660,6007540,0.745
1810,1810,6550390,0.968
1810,1960,7093240,1.096
1810,2110,7636090,1.153
1810,2260,8178940,1.178
1810,2410,8721790,1.354
1810,2560,9264640,1.43
1810,2710,9807490,1.456
1810,2860,10350340,1.591
1810,3010,10893190,1.636
1810,3160,11436040,1.831
1810,3310,11978890,1.896
1810,3460,12521740,2.158
1810,3610,13064590,2.172
1810,3760,13607440,2.32
1810,3910,14150290,2.277
1810,4060,14693140,2.385
1810,4210,15235990,2.228
1810,4360,15778840,2.278
1810,4510,16321690,2.436
1810,4660,16864540,2.534
1810,4810,17407390,2.503
1810,4960,17950240,2.684
1810,5110,18493090,2.673
1810,5260,19035940,2.842
1810,5410,19578790,2.896
1810,5560,20121640,2.995
1810,5710,20664490,3.019
1810,5860,21207340,3.085
1810,6010,21750190,4.09
1810,6160,22293040,3.49
1810,6310,22835890,3.473
1810,6460,23378740,3.545
1810,6610,23921590,3.659
1810,6760,24464440,3.705
1810,6910,25007290,3.755
1810,7060,25550140,3.987
1810,7210,26092990,4.055
1810,7360,26635840,4.152
1810,7510,27178690,4.386
1810,7660,27721540,4.271
1810,7810,28264390,4.363
1810,7960,28807240,4.465
1810,8110,29350090,4.613
1960,10,39190,0.014
1960,160,627040,0.219
1960,310,1214890,0.254
1960,460,1802740,0.289
1960,610,2390590,0.392
1960,760,2978440,0.325
1960,910,3566290,0.563
1960,1060,4154140,0.438
1960,1210,4741990,0.516
1960,1360,5329840,0.657
1960,1510,5917690,0.737
1960,1660,6505540,0.777
1960,1810,7093390,0.939
1960,1960,7681240,0.963
1960,2110,8269090,1.232
1960,2260,8856940,1.084
1960,2410,9444790,1.241
1960,2560,10032640,1.421
1960,2710,10620490,1.35
1960,2860,11208340,1.539
1960,3010,11796190,1.523
1960,3160,12384040,1.654
1960,3310,12971890,1.729
1960,3460,13559740,1.813
1960,3610,14147590,1.937
1960,3760,14735440,2.147
1960,3910,15323290,2.108
1960,4060,15911140,2.338
1960,4210,16498990,1.991
1960,4360,17086840,2.086
1960,4510,17674690,2.116
1960,4660,18262540,2.353
1960,4810,18850390,2.443
1960,4960,19438240,2.319
1960,5110,20026090,2.523
1960,5260,20613940,2.609
1960,5410,21201790,2.646
1960,5560,21789640,2.772
1960,5710,22377490,3.027
1960,5860,22965340,3.587
1960,6010,23553190,2.969
1960,6160,24141040,3.056
1960,6310,24728890,3.219
1960,6460,25316740,3.289
1960,6610,25904590,3.459
1960,6760,26492440,3.599
1960,6910,27080290,3.544
1960,7060,27668140,3.658
1960,7210,28255990,3.739
1960,7360,28843840,3.881
1960,7510,29431690,4.112
1960,7660,30019540,4.074
1960,7810,30607390,4.259
1960,7960,31195240,4.346
1960,8110,31783090,4.437
2110,10,42190,0.014
2110,160,675040,0.229
2110,310,1307890,0.275
2110,460,1940740,0.32
2110,610,2573590,0.33
2110,760,3206440,0.39
2110,910,3839290,0.69
2110,1060,4472140,0.614
2110,1210,5104990,0.714
2110,1360,5737840,0.918
2110,1510,6370690,1.081
2110,1660,7003540,1.223
2110,1810,7636390,1.307
