HW,Cin,latency
27,418,0.144
27,423,0.138
27,428,0.13
27,433,0.13
27,438,0.132
27,443,0.132
27,448,0.136
27,453,0.137
27,458,0.138
27,463,0.138
27,468,0.138
27,473,0.139
27,478,0.133
27,483,0.134
27,488,0.143
27,493,0.139
27,498,0.139
27,503,0.144
27,508,0.14
27,513,0.144
27,518,0.139
27,523,0.141
27,528,0.145
27,533,0.14
27,538,0.154
27,543,0.153
27,548,0.143
27,553,0.144
27,558,0.14
27,563,0.148
27,568,0.145
27,573,0.157
27,578,0.149
27,583,0.151
27,588,0.149
27,593,0.153
27,598,0.149
27,603,0.147
27,608,0.148
27,613,0.151
27,618,0.153
27,623,0.153
27,628,0.15
27,633,0.155
27,638,0.15
27,643,0.154
27,648,0.155
27,653,0.157
27,658,0.154
27,663,0.156
27,668,0.163
27,673,0.154
27,678,0.158
27,683,0.154
27,688,0.157
27,693,0.157
27,698,0.165
27,703,0.16
27,708,0.162
27,713,0.157
27,718,0.163
27,723,0.166
27,728,0.165
27,733,0.164
27,738,0.164
27,743,0.16
27,748,0.164
27,753,0.166
27,758,0.165
27,763,0.168
27,768,0.171
27,773,0.168
27,778,0.166
27,783,0.161
27,788,0.169
27,793,0.164
27,798,0.169
27,803,0.172
27,808,0.168
27,813,0.171
27,818,0.174
27,823,0.172
27,828,0.176
27,833,0.173
27,838,0.172
27,843,0.178
27,848,0.177
27,853,0.172
27,858,0.175
27,863,0.177
27,868,0.174
27,873,0.175
27,878,0.178
27,883,0.176
27,888,0.179
27,893,0.177
27,898,0.179
27,903,0.182
27,908,0.18
27,913,0.186
27,918,0.185
27,923,0.181
27,928,0.182
27,933,0.187
27,938,0.181
27,943,0.188
27,948,0.183
27,953,0.186
27,958,0.179
27,963,0.189
27,968,0.189
27,973,0.185
27,978,0.197
27,983,0.189
27,988,0.187
27,993,0.184
27,998,0.19
27,1003,0.189
27,1008,0.191
27,1013,0.189
27,1018,0.186
27,1023,0.189
14,3,0.083
14,8,0.089
14,13,0.078
14,18,0.088
14,23,0.104
14,28,0.109
14,33,0.089
14,38,0.101
14,43,0.077
14,48,0.092
14,53,0.092
14,58,0.088
14,63,0.082
14,68,0.089
14,73,0.082
14,78,0.111
14,83,0.103
14,88,0.084
14,93,0.094
14,98,0.096
14,103,0.09
14,108,0.091
14,113,0.094
14,118,0.119
14,123,0.092
14,128,0.094
14,133,0.094
14,138,0.09
14,143,0.088
14,148,0.1
14,153,0.091
14,158,0.092
14,163,0.11
14,168,0.097
14,173,0.102
14,178,0.103
14,183,0.095
14,188,0.094
14,193,0.094
14,198,0.111
14,203,0.096
14,208,0.096
14,213,0.115
14,218,0.101
14,223,0.098
14,228,0.099
14,233,0.095
14,238,0.093
14,243,0.101
14,248,0.098
14,253,0.105
14,258,0.101
14,263,0.109
14,268,0.103
14,273,0.113
14,278,0.1
14,283,0.107
14,288,0.107
14,293,0.119
14,298,0.098
14,303,0.114
14,308,0.106
14,313,0.102
14,318,0.105
14,323,0.106
14,328,0.106
14,333,0.108
14,338,0.109
14,343,0.109
14,348,0.113
14,353,0.122
14,358,0.111
14,363,0.11
14,368,0.114
14,373,0.111
14,378,0.119
14,383,0.128
14,388,0.116
14,393,0.111
14,398,0.115
14,403,0.116
14,408,0.119
14,413,0.126
14,418,0.124
14,423,0.124
14,428,0.113
14,433,0.115
14,438,0.115
14,443,0.123
14,448,0.122
14,453,0.123
14,458,0.124
14,463,0.117
14,468,0.118
14,473,0.129
14,478,0.115
14,483,0.123
14,488,0.123
14,493,0.124
14,498,0.123
14,503,0.137
14,508,0.13
14,513,0.131
14,518,0.12
14,523,0.123
14,528,0.127
14,533,0.127
14,538,0.132
14,543,0.127
14,548,0.129
14,553,0.127
14,558,0.124
14,563,0.128
14,568,0.138
14,573,0.132
14,578,0.136
14,583,0.131
14,588,0.137
14,593,0.137
14,598,0.134
14,603,0.129
14,608,0.134
14,613,0.133
14,618,0.131
14,623,0.135
14,628,0.143
14,633,0.154
14,638,0.138
14,643,0.138
14,648,0.146
14,653,0.14
14,658,0.141
14,663,0.141
14,668,0.143
14,673,0.138
14,678,0.19
14,683,0.147
14,688,0.142
14,693,0.148
14,698,0.14
14,703,0.144
14,708,0.139
14,713,0.141
14,718,0.152
14,723,0.143
14,728,0.155
14,733,0.145
14,738,0.144
14,743,0.144
14,748,0.147
14,753,0.148
14,758,0.148
14,763,0.144
14,768,0.152
14,773,0.147
14,778,0.148
14,783,0.147
14,788,0.154
14,793,0.145
14,798,0.151
14,803,0.147
14,808,0.159
14,813,0.158
14,818,0.152
14,823,0.152
14,828,0.154
14,833,0.157
14,838,0.156
14,843,0.161
14,848,0.152
14,853,0.16
14,858,0.156
14,863,0.155
14,868,0.154
14,873,0.161
14,878,0.167
14,883,0.159
14,888,0.158
14,893,0.154
14,898,0.17
14,903,0.158
14,908,0.155
14,913,0.16
14,918,0.178
14,923,0.161
14,928,0.159
14,933,0.16
14,938,0.159
14,943,0.159
14,948,0.165
14,953,0.162
14,958,0.163
14,963,0.164
14,968,0.166
14,973,0.162
14,978,0.163
14,983,0.168
14,988,0.172
14,993,0.167
14,998,0.171
14,1003,0.168
14,1008,0.17
14,1013,0.162
14,1018,0.175
14,1023,0.17
13,3,0.082
13,8,0.09
13,13,0.083
13,18,0.092
13,23,0.097
13,28,0.093
13,33,0.09
13,38,0.1
13,43,0.089
13,48,0.078
13,53,0.09
13,58,0.083
13,63,0.09
13,68,0.094
13,73,0.126
13,78,0.092
13,83,0.089
13,88,0.129
13,93,0.09
13,98,0.11
13,103,0.092
13,108,0.093
13,113,0.092
13,118,0.092
13,123,0.092
13,128,0.093
13,133,0.098
13,138,0.097
13,143,0.087
13,148,0.085
13,153,0.084
13,158,0.084
13,163,0.091
13,168,0.087
13,173,0.091
13,178,0.099
13,183,0.092
13,188,0.108
13,193,0.098
13,198,0.099
13,203,0.118
13,208,0.092
13,213,0.096
13,218,0.099
13,223,0.098
13,228,0.098
13,233,0.094
13,238,0.101
13,243,0.098
13,248,0.105
13,253,0.141
13,258,0.105
13,263,0.11
13,268,0.113
13,273,0.132
13,278,0.101
13,283,0.098
13,288,0.109
13,293,0.106
13,298,0.103
13,303,0.122
13,308,0.121
13,313,0.106
13,318,0.108
13,323,0.113
13,328,0.104
13,333,0.115
13,338,0.104
13,343,0.105
13,348,0.107
13,353,0.112
13,358,0.122
13,363,0.109
13,368,0.109
13,373,0.11
13,378,0.13
13,383,0.116
13,388,0.111
13,393,0.114
13,398,0.129
13,403,0.113
13,408,0.111
13,413,0.122
13,418,0.116
13,423,0.128
13,428,0.115
13,433,0.123
13,438,0.129
13,443,0.118
13,448,0.118
13,453,0.127
13,458,0.12
13,463,0.124
13,468,0.117
13,473,0.12
13,478,0.119
13,483,0.121
13,488,0.121
13,493,0.125
13,498,0.121
13,503,0.122
13,508,0.141
13,513,0.124
13,518,0.125
13,523,0.15
13,528,0.128
13,533,0.127
13,538,0.125
13,543,0.12
13,548,0.122
13,553,0.14
13,558,0.123
13,563,0.129
13,568,0.13
13,573,0.132
13,578,0.142
13,583,0.161
13,588,0.13
13,593,0.137
13,598,0.127
13,603,0.13
13,608,0.133
13,613,0.147
13,618,0.13
13,623,0.145
13,628,0.138
13,633,0.132
13,638,0.128
13,643,0.192
13,648,0.133
13,653,0.135
13,658,0.135
13,663,0.134
