HW,kernel,stride,Cin,Cout,FLOPs,latency
224,5,4,256,1024,41104179200,15.69
224,5,4,512,3,240844800,3.169
224,5,4,512,32,2569011200,3.366
224,5,4,512,64,5138022400,3.966
224,5,4,512,128,10276044800,6.394
224,5,4,512,256,20552089600,9.411
224,5,4,512,512,41104179200,15.791
224,5,4,512,1024,82208358400,31.029
224,5,4,1024,3,481689600,6.134
224,5,4,1024,32,5138022400,6.396
224,5,4,1024,64,10276044800,7.649
224,5,4,1024,128,20552089600,12.496
224,5,4,1024,256,41104179200,18.532
224,5,4,1024,512,82208358400,31.277
224,5,4,1024,1024,1.64E+11,61.694
224,7,1,3,3,44255232,0.36
224,7,1,3,32,472055808,0.42
224,7,1,3,64,944111616,0.63
224,7,1,3,128,1888223232,1.119
224,7,1,3,256,3776446464,1.999
224,7,1,3,512,7552892928,3.169
224,7,1,3,1024,15105785856,5.209
224,7,1,32,3,472055808,1.483
224,7,1,32,32,5035261952,1.754
224,7,1,32,64,10070523904,2.577
224,7,1,32,128,20141047808,6.31
224,7,1,32,256,40282095616,9.498
224,7,1,32,512,80564191232,17.77
224,7,1,32,1024,1.61E+11,38.733
224,7,1,64,3,944111616,1.776
224,7,1,64,32,10070523904,3.546
224,7,1,64,64,20141047808,8.61
224,7,1,64,128,40282095616,13.863
224,7,1,64,256,80564191232,16.494
224,7,1,64,512,1.61E+11,33.157
224,7,1,64,1024,3.22E+11,72.797
224,7,1,128,3,1888223232,4.464
224,7,1,128,32,20141047808,9.761
224,7,1,128,64,40282095616,16.797
224,7,1,128,128,80564191232,25.585
224,7,1,128,256,1.61E+11,30.487
224,7,1,128,512,3.22E+11,63.928
224,7,1,128,1024,6.45E+11,142.244
224,7,1,256,3,3776446464,12.827
224,7,1,256,32,40282095616,19.265
224,7,1,256,64,80564191232,32.979
224,7,1,256,128,1.61E+11,37.737
224,7,1,256,256,3.22E+11,64.368
224,7,1,256,512,6.45E+11,140.138
224,7,1,256,1024,1.29E+12,296.058
224,7,1,512,3,7552892928,29.275
224,7,1,512,32,80564191232,38.226
224,7,1,512,64,1.61E+11,65.264
224,7,1,512,128,3.22E+11,74.109
224,7,1,512,256,6.45E+11,141.542
224,7,1,512,512,1.29E+12,303.389
224,7,1,512,1024,2.58E+12,613.075
224,7,1,1024,3,15105785856,61.71
224,7,1,1024,32,1.61E+11,68.411
224,7,1,1024,64,3.22E+11,71.852
224,7,1,1024,128,6.45E+11,144.017
224,7,1,1024,256,1.29E+12,314.307
224,7,1,1024,512,2.58E+12,639.147
224,7,1,1024,1024,5.16E+12,1327.592
224,7,2,3,3,11063808,0.177
224,7,2,3,32,118013952,0.166
224,7,2,3,64,236027904,0.182
224,7,2,3,128,472055808,0.25
224,7,2,3,256,944111616,0.391
224,7,2,3,512,1888223232,0.647
224,7,2,3,1024,3776446464,1.188
224,7,2,32,3,118013952,0.493
224,7,2,32,32,1258815488,0.717
224,7,2,32,64,2517630976,1
224,7,2,32,128,5035261952,1.883
224,7,2,32,256,10070523904,3.887
224,7,2,32,512,20141047808,6.763
224,7,2,32,1024,40282095616,8.642
224,7,2,64,3,236027904,1.006
224,7,2,64,32,2517630976,2.077
224,7,2,64,64,5035261952,2.388
224,7,2,64,128,10070523904,3.865
224,7,2,64,256,20141047808,7.489
224,7,2,64,512,40282095616,12.937
224,7,2,64,1024,80564191232,15.464
224,7,2,128,3,472055808,2.915
224,7,2,128,32,5035261952,4.975
224,7,2,128,64,10070523904,4.643
224,7,2,128,128,20141047808,7.57
224,7,2,128,256,40282095616,14.754
224,7,2,128,512,80564191232,24.864
224,7,2,128,1024,1.61E+11,29.39
224,7,2,256,3,944111616,7.338
224,7,2,256,32,10070523904,9.857
224,7,2,256,64,20141047808,9.123
224,7,2,256,128,40282095616,14.91
224,7,2,256,256,80564191232,29.195
224,7,2,256,512,1.61E+11,38.13
224,7,2,256,1024,3.22E+11,60.306
224,7,2,512,3,1888223232,15.936
224,7,2,512,32,20141047808,19.494
224,7,2,512,64,40282095616,17.893
224,7,2,512,128,80564191232,29.449
224,7,2,512,256,1.61E+11,57.951
224,7,2,512,512,3.22E+11,73.693
224,7,2,512,1024,6.45E+11,142.282
224,7,2,1024,3,3776446464,32.89
224,7,2,1024,32,40282095616,38.756
224,7,2,1024,64,80564191232,35.462
224,7,2,1024,128,1.61E+11,58.556
224,7,2,1024,256,3.22E+11,71.531
224,7,2,1024,512,6.45E+11,147.391
224,7,2,1024,1024,1.29E+12,303.185
224,7,4,3,3,2765952,0.165
224,7,4,3,32,29503488,0.163
224,7,4,3,64,59006976,0.177
224,7,4,3,128,118013952,0.171
224,7,4,3,256,236027904,0.185
224,7,4,3,512,472055808,0.266
224,7,4,3,1024,944111616,0.409
224,7,4,32,3,29503488,0.255
224,7,4,32,32,314703872,0.29
224,7,4,32,64,629407744,0.593
224,7,4,32,128,1258815488,0.902
224,7,4,32,256,2517630976,1.29
224,7,4,32,512,5035261952,2.104
224,7,4,32,1024,10070523904,4.027
224,7,4,64,3,59006976,0.83
224,7,4,64,32,629407744,0.891
224,7,4,64,64,1258815488,1.047
224,7,4,64,128,2517630976,1.66
224,7,4,64,256,5035261952,2.424
224,7,4,64,512,10070523904,4
224,7,4,64,1024,20141047808,7.773
224,7,4,128,3,118013952,1.592
224,7,4,128,32,1258815488,1.724
224,7,4,128,64,2517630976,1.991
224,7,4,128,128,5035261952,3.235
224,7,4,128,256,10070523904,4.744
224,7,4,128,512,20141047808,7.846
224,7,4,128,1024,40282095616,15.307
224,7,4,256,3,236027904,3.083
224,7,4,256,32,2517630976,3.331
224,7,4,256,64,5035261952,3.836
224,7,4,256,128,10070523904,6.273
224,7,4,256,256,20141047808,9.233
224,7,4,256,512,40282095616,15.412
224,7,4,256,1024,80564191232,30.234
224,7,4,512,3,472055808,5.975
224,7,4,512,32,5035261952,6.333
224,7,4,512,64,10070523904,7.386
224,7,4,512,128,20141047808,12.237
224,7,4,512,256,40282095616,18.124
224,7,4,512,512,80564191232,30.461
224,7,4,512,1024,1.61E+11,60.161
224,7,4,1024,3,944111616,11.755
224,7,4,1024,32,10070523904,12.444
224,7,4,1024,64,20141047808,14.496
224,7,4,1024,128,40282095616,24.184
224,7,4,1024,256,80564191232,35.942
224,7,4,1024,512,1.61E+11,60.661
224,7,4,1024,1024,3.22E+11,77.651
224,9,1,3,3,73156608,0.391
224,9,1,3,32,780337152,0.444
224,9,1,3,64,1560674304,0.594
224,9,1,3,128,3121348608,0.976
224,9,1,3,256,6242697216,1.727
224,9,1,3,512,12485394432,3.447
224,9,1,3,1024,24970788864,6.962
224,9,1,32,3,780337152,2.398
224,9,1,32,32,8323596288,2.805
224,9,1,32,64,16647192576,5.97
224,9,1,32,128,33294385152,12.784
224,9,1,32,256,66588770304,28.937
224,9,1,32,512,1.33E+11,60.397
224,9,1,32,1024,2.66E+11,126.082
224,9,1,64,3,1560674304,3.078
224,9,1,64,32,16647192576,5.483
224,9,1,64,64,33294385152,14.85
224,9,1,64,128,66588770304,25.561
224,9,1,64,256,1.33E+11,55.716
224,9,1,64,512,2.66E+11,117.926
224,9,1,64,1024,5.33E+11,240.837
224,9,1,128,3,3121348608,7.27
224,9,1,128,32,33294385152,15.688
224,9,1,128,64,66588770304,28.411
224,9,1,128,128,1.33E+11,50.424
224,9,1,128,256,2.66E+11,113.152
224,9,1,128,512,5.33E+11,238.342
224,9,1,128,1024,1.07E+12,492.22
224,9,1,256,3,6242697216,21.772
224,9,1,256,32,66588770304,33.321
224,9,1,256,64,1.33E+11,53.691
224,9,1,256,128,2.66E+11,120.685
224,9,1,256,256,5.33E+11,259.254
224,9,1,256,512,1.07E+12,537.695
224,9,1,256,1024,2.13E+12,1086.161
224,9,1,512,3,12485394432,52.26
224,9,1,512,32,1.33E+11,66.203
224,9,1,512,64,2.66E+11,137.031
224,9,1,512,128,5.33E+11,309.311
224,9,1,512,256,1.07E+12,636.851
224,9,1,512,512,2.13E+12,1374.459
224,9,1,512,1024,4.26E+12,2809.197
224,9,1,1024,3,24970788864,67.752
224,9,1,1024,32,2.66E+11,73.003
224,9,1,1024,64,5.33E+11,332.002
224,9,1,1024,128,1.07E+12,704.094
224,9,1,1024,256,2.13E+12,1547.567
224,9,1,1024,512,4.26E+12,3215.532
224,9,1,1024,1024,8.52E+12,6501.438
224,9,2,3,3,18289152,0.179
224,9,2,3,32,195084288,0.184
224,9,2,3,64,390168576,0.225
224,9,2,3,128,780337152,0.324
224,9,2,3,256,1560674304,0.526
224,9,2,3,512,3121348608,0.887
224,9,2,3,1024,6242697216,1.647
224,9,2,32,3,195084288,0.892
224,9,2,32,32,2080899072,1.315
224,9,2,32,64,4161798144,1.605
224,9,2,32,128,8323596288,3.028
224,9,2,32,256,16647192576,6.136
224,9,2,32,512,33294385152,8.217
224,9,2,32,1024,66588770304,11.476
224,9,2,64,3,390168576,1.417
224,9,2,64,32,4161798144,2.869
224,9,2,64,64,8323596288,3.849
224,9,2,64,128,16647192576,6.278
224,9,2,64,256,33294385152,11.827
224,9,2,64,512,66588770304,14.384
224,9,2,64,1024,1.33E+11,23.333
224,9,2,128,3,780337152,3.768
224,9,2,128,32,8323596288,8.128
224,9,2,128,64,16647192576,7.561
224,9,2,128,128,33294385152,12.367
224,9,2,128,256,66588770304,23.325
224,9,2,128,512,1.33E+11,28.166
224,9,2,128,1024,2.66E+11,46.308
224,9,2,256,3,1560674304,11.239
224,9,2,256,32,16647192576,16.134
224,9,2,256,64,33294385152,14.875
224,9,2,256,128,66588770304,24.454
224,9,2,256,256,1.33E+11,37.302
224,9,2,256,512,2.66E+11,48.944
224,9,2,256,1024,5.33E+11,110.729
224,9,2,512,3,3121348608,26.531
224,9,2,512,32,33294385152,32.07
224,9,2,512,64,66588770304,29.482
224,9,2,512,128,1.33E+11,48.602
224,9,2,512,256,2.66E+11,73.428
224,9,2,512,512,5.33E+11,112.909
224,9,2,512,1024,1.07E+12,245.462
224,9,2,1024,3,6242697216,54.199
224,9,2,1024,32,66588770304,63.183
224,9,2,1024,64,1.33E+11,58.65
224,9,2,1024,128,2.66E+11,70.07
224,9,2,1024,256,5.33E+11,120.606
224,9,2,1024,512,1.07E+12,261.031
224,9,2,1024,1024,2.13E+12,531.636
224,9,4,3,3,4572288,0.168
224,9,4,3,32,48771072,0.175
224,9,4,3,64,97542144,0.176
224,9,4,3,128,195084288,0.177
224,9,4,3,256,390168576,0.219
224,9,4,3,512,780337152,0.297
224,9,4,3,1024,1560674304,0.491
224,9,4,32,3,48771072,0.333
224,9,4,32,32,520224768,0.553
224,9,4,32,64,1040449536,0.916
224,9,4,32,128,2080899072,1.402
224,9,4,32,256,4161798144,2.027
224,9,4,32,512,8323596288,3.344
224,9,4,32,1024,16647192576,6.328
224,9,4,64,3,97542144,1.244
224,9,4,64,32,1040449536,1.404
224,9,4,64,64,2080899072,1.652
224,9,4,64,128,4161798144,2.663
224,9,4,64,256,8323596288,3.884
