HW,kernel,stride,Cin,FLOPs,latency
32,1,2,64,2265120,0.056
32,1,2,128,8990784,0.061
32,1,2,256,35823744,0.064
32,1,2,512,143016192,0.067
32,1,2,1024,571507200,0.082
32,1,4,3,1837.5,0.043
32,1,4,6,6431.25,0.045
32,1,4,8,11025,0.05
32,1,4,16,41650,0.045
32,1,4,32,161700,0.054
32,1,4,64,637000,0.054
32,1,4,128,2528400,0.06
32,1,4,256,10074400,0.07
32,1,4,512,40219200,0.068
32,1,4,1024,160720000,0.071
32,3,1,3,69192,0.043
32,3,1,6,172980,0.057
32,3,1,8,261392,0.05
32,3,1,16,768800,0.044
32,3,1,32,2521664,0.049
32,3,1,64,8979584,0.053
32,3,1,128,33704192,0.071
32,3,1,256,130388480,0.092
32,3,1,512,512697344,0.122
32,3,1,1024,2033076224,0.186
32,3,2,3,18432,0.048
32,3,2,6,46080,0.044
32,3,2,8,69632,0.046
32,3,2,16,204800,0.048
32,3,2,32,671744,0.056
32,3,2,64,2392064,0.057
32,3,2,128,8978432,0.062
32,3,2,256,34734080,0.065
32,3,2,512,136577024,0.078
32,3,2,1024,541589504,0.1
32,3,4,3,5202,0.043
32,3,4,6,13005,0.044
32,3,4,8,19652,0.043
32,3,4,16,57800,0.056
32,3,4,32,189584,0.05
32,3,4,64,675104,0.067
32,3,4,128,2533952,0.066
32,3,4,256,9802880,0.066
32,3,4,512,38545664,0.068
32,3,4,1024,152850944,0.073
32,5,1,3,151200,0.045
32,5,1,6,334800,0.046
32,5,1,8,475200,0.043
32,5,1,16,1180800,0.047
32,5,1,32,3283200,0.049
32,5,1,64,10252800,0.062
32,5,1,128,35251200,0.095
32,5,1,256,129484800,0.132
32,5,1,512,494899200,0.205
32,5,1,1024,1933516800,0.362
32,5,2,3,40362,0.044
32,5,2,6,89373,0.061
32,5,2,8,126852,0.045
32,5,2,16,315208,0.047
32,5,2,32,876432,0.06
32,5,2,64,2736928,0.055
32,5,2,128,9410112,0.061
32,5,2,256,34565248,0.079
32,5,2,512,132110592,0.101
32,5,2,1024,516141568,0.142
32,5,4,3,11434.5,0.043
32,5,4,6,25319.25,0.045
32,5,4,8,35937,0.045
32,5,4,16,89298,0.047
32,5,4,32,248292,0.05
32,5,4,64,775368,0.062
32,5,4,128,2665872,0.062
32,5,4,256,9792288,0.067
32,5,4,512,37426752,0.072
32,5,4,1024,146222208,0.09
32,7,1,3,262392,0.05
32,7,1,6,555060,0.059
32,7,1,8,766992,0.051
32,7,1,16,1749280,0.049
32,7,1,32,4359744,0.065
32,7,1,64,12164224,0.076
32,7,1,128,38107392,0.119
32,7,1,256,131330560,0.177
32,7,1,512,483124224,0.296
32,7,1,1024,1848100864,0.536
32,7,2,3,70200,0.049
32,7,2,6,148500,0.052
32,7,2,8,205200,0.051
32,7,2,16,468000,0.052
32,7,2,32,1166400,0.055
32,7,2,64,3254400,0.06
32,7,2,128,10195200,0.065
32,7,2,256,35136000,0.089
32,7,2,512,129254400,0.13
32,7,2,1024,494438400,0.194
32,7,4,3,19968,0.046
32,7,4,6,42240,0.042
32,7,4,8,58368,0.046
32,7,4,16,133120,0.052
32,7,4,32,331776,0.059
32,7,4,64,925696,0.059
32,7,4,128,2899968,0.067
32,7,4,256,9994240,0.071
32,7,4,512,36765696,0.084
32,7,4,1024,140640256,0.114
32,9,1,3,395136,0.076
32,9,1,6,818496,0.067
32,9,1,8,1116416,0.057
32,9,1,16,2433536,0.059
32,9,1,32,5669888,0.065
32,9,1,64,14551040,0.095
32,9,1,128,41947136,0.155
32,9,1,256,135274496,0.23
32,9,1,512,476069888,0.393
32,9,1,1024,1774223360,0.724
32,9,2,3,105966,0.053
32,9,2,6,219501,0.058
32,9,2,8,299396,0.058
32,9,2,16,652616,0.057
32,9,2,32,1520528,0.064
32,9,2,64,3902240,0.065
32,9,2,128,11249216,0.077
32,9,2,256,36277376,0.111
32,9,2,512,127670528,0.169
32,9,2,1024,475804160,0.262
32,9,4,3,30271.5,0.042
32,9,4,6,62705.25,0.047
32,9,4,8,85529,0.049
32,9,4,16,186434,0.061
32,9,4,32,434372,0.064
32,9,4,64,1114760,0.077
32,9,4,128,3213584,0.075
32,9,4,256,10363424,0.077
32,9,4,512,36471872,0.1
32,9,4,1024,135923840,0.146
28,1,1,3,18816,0.043
28,1,1,6,65856,0.056
28,1,1,8,112896,0.044
28,1,1,16,426496,0.044
28,1,1,32,1655808,0.049
28,1,1,64,6522880,0.05
28,1,1,128,25890816,0.058
28,1,1,256,103161856,0.071
28,1,1,512,411844608,0.09
28,1,1,1024,1645772800,0.134
28,1,2,3,5046,0.039
28,1,2,6,17661,0.044
28,1,2,8,30276,0.042
28,1,2,16,114376,0.045
28,1,2,32,444048,0.047
28,1,2,64,1749280,0.052
28,1,2,128,6943296,0.056
28,1,2,256,27665536,0.061
28,1,2,512,110446848,0.068
28,1,2,1024,441356800,0.074
28,1,4,3,1441.5,0.044
28,1,4,6,5045.25,0.043
28,1,4,8,8649,0.045
28,1,4,16,32674,0.043
28,1,4,32,126852,0.047
28,1,4,64,499720,0.055
28,1,4,128,1983504,0.061
28,1,4,256,7903264,0.066
28,1,4,512,31551552,0.067
28,1,4,1024,126083200,0.07
28,3,1,3,52488,0.044
28,3,1,6,131220,0.044
28,3,1,8,198288,0.045
28,3,1,16,583200,0.044
28,3,1,32,1912896,0.048
28,3,1,64,6811776,0.051
28,3,1,128,25567488,0.059
28,3,1,256,98910720,0.076
28,3,1,512,388924416,0.105
28,3,1,1024,1542260736,0.158
28,3,2,3,14112,0.045
28,3,2,6,35280,0.045
28,3,2,8,53312,0.045
28,3,2,16,156800,0.044
28,3,2,32,514304,0.057
28,3,2,64,1831424,0.051
28,3,2,128,6874112,0.059
28,3,2,256,26593280,0.067
28,3,2,512,104566784,0.076
28,3,2,1024,414654464,0.091
28,3,4,3,4050,0.044
28,3,4,6,10125,0.044
28,3,4,8,15300,0.044
28,3,4,16,45000,0.056
28,3,4,32,147600,0.053
28,3,4,64,525600,0.052
28,3,4,128,1972800,0.059
28,3,4,256,7632000,0.069
28,3,4,512,30009600,0.07
28,3,4,1024,119001600,0.077
28,5,1,3,113568,0.047
28,5,1,6,251472,0.045
28,5,1,8,356928,0.044
28,5,1,16,886912,0.056
28,5,1,32,2466048,0.053
28,5,1,64,7700992,0.062
28,5,1,128,26477568,0.082
28,5,1,256,97257472,0.108
28,5,1,512,371724288,0.173
28,5,1,1024,1452285952,0.293
28,5,2,3,30618,0.045
28,5,2,6,67797,0.044
28,5,2,8,96228,0.066
28,5,2,16,239112,0.047
28,5,2,32,664848,0.058
28,5,2,64,2076192,0.061
28,5,2,128,7138368,0.062
28,5,2,256,26220672,0.082
28,5,2,512,100217088,0.1
28,5,2,1024,391537152,0.143
28,5,4,3,8830.5,0.044
28,5,4,6,19553.25,0.057
28,5,4,8,27753,0.047
28,5,4,16,68962,0.046
28,5,4,32,191748,0.065
28,5,4,64,598792,0.06
28,5,4,128,2058768,0.061
28,5,4,256,7562272,0.069
28,5,4,512,28903488,0.08
28,5,4,1024,112922752,0.104
28,7,1,3,195000,0.051
28,7,1,6,412500,0.051
28,7,1,8,570000,0.051
28,7,1,16,1300000,0.062
28,7,1,32,3240000,0.056
28,7,1,64,9040000,0.076
28,7,1,128,28320000,0.106
28,7,1,256,97600000,0.144
28,7,1,512,359040000,0.241
28,7,1,1024,1373440000,0.43
28,7,2,3,52728,0.047
28,7,2,6,111540,0.052
