in_features,out_features,FLOPs,latency
2260,6760,30548440,0.292
2260,6910,31226290,0.297
2260,7060,31904140,0.313
2260,7210,32581990,0.313
2260,7360,33259840,0.319
2260,7510,33937690,0.32
2260,7660,34615540,0.326
2260,7810,35293390,0.341
2260,7960,35971240,0.338
2260,8110,36649090,0.339
2410,10,48190,0.056
2410,160,771040,0.05
2410,310,1493890,0.048
2410,460,2216740,0.054
2410,610,2939590,0.064
2410,760,3662440,0.069
2410,910,4385290,0.089
2410,1060,5108140,0.087
2410,1210,5830990,0.087
2410,1360,6553840,0.099
2410,1510,7276690,0.101
2410,1660,7999540,0.114
2410,1810,8722390,0.118
2410,1960,9445240,0.121
2410,2110,10168090,0.127
2410,2260,10890940,0.132
2410,2410,11613790,0.138
2410,2560,12336640,0.16
2410,2710,13059490,0.149
2410,2860,13782340,0.156
2410,3010,14505190,0.163
2410,3160,15228040,0.168
2410,3310,15950890,0.194
2410,3460,16673740,0.18
2410,3610,17396590,0.186
2410,3760,18119440,0.191
2410,3910,18842290,0.204
2410,4060,19565140,0.202
2410,4210,20287990,0.212
2410,4360,21010840,0.22
2410,4510,21733690,0.22
2410,4660,22456540,0.228
2410,4810,23179390,0.243
2410,4960,23902240,0.248
2410,5110,24625090,0.248
2410,5260,25347940,0.25
2410,5410,26070790,0.256
2410,5560,26793640,0.262
2410,5710,27516490,0.269
2410,5860,28239340,0.273
2410,6010,28962190,0.278
2410,6160,29685040,0.288
2410,6310,30407890,0.289
2410,6460,31130740,0.307
2410,6610,31853590,0.304
2410,6760,32576440,0.307
2410,6910,33299290,0.316
2410,7060,34022140,0.318
2410,7210,34744990,0.329
2410,7360,35467840,0.332
2410,7510,36190690,0.341
2410,7660,36913540,0.343
2410,7810,37636390,0.348
2410,7960,38359240,0.354
2410,8110,39082090,0.36
2560,10,51190,0.055
2560,160,819040,0.048
2560,310,1586890,0.049
2560,460,2354740,0.055
2560,610,3122590,0.063
2560,760,3890440,0.069
2560,910,4658290,0.077
2560,1060,5426140,0.089
2560,1210,6193990,0.089
2560,1360,6961840,0.099
2560,1510,7729690,0.101
2560,1660,8497540,0.125
2560,1810,9265390,0.118
2560,1960,10033240,0.133
2560,2110,10801090,0.128
2560,2260,11568940,0.132
2560,2410,12336790,0.139
2560,2560,13104640,0.145
2560,2710,13872490,0.154
2560,2860,14640340,0.157
2560,3010,15408190,0.165
2560,3160,16176040,0.178
2560,3310,16943890,0.179
2560,3460,17711740,0.183
2560,3610,18479590,0.19
2560,3760,19247440,0.193
2560,3910,20015290,0.202
2560,4060,20783140,0.204
2560,4210,21550990,0.212
2560,4360,22318840,0.218
2560,4510,23086690,0.224
2560,4660,23854540,0.243
2560,4810,24622390,0.242
2560,4960,25390240,0.242
2560,5110,26158090,0.25
2560,5260,26925940,0.258
2560,5410,27693790,0.263
2560,5560,28461640,0.27
2560,5710,29229490,0.275
2560,5860,29997340,0.28
2560,6010,30765190,0.285
2560,6160,31533040,0.292
2560,6310,32300890,0.296
2560,6460,33068740,0.305
2560,6610,33836590,0.31
2560,6760,34604440,0.315
2560,6910,35372290,0.321
2560,7060,36140140,0.326
2560,7210,36907990,0.332
2560,7360,37675840,0.34
2560,7510,38443690,0.345
2560,7660,39211540,0.351
2560,7810,39979390,0.356
2560,7960,40747240,0.363
2560,8110,41515090,0.372
2710,10,54190,0.059
2710,160,867040,0.052
2710,310,1679890,0.048
2710,460,2492740,0.058
2710,610,3305590,0.065
2710,760,4118440,0.072
2710,910,4931290,0.081
2710,1060,5744140,0.091
2710,1210,6556990,0.096
2710,1360,7369840,0.115
2710,1510,8182690,0.111
2710,1660,8995540,0.12
2710,1810,9808390,0.128
2710,1960,10621240,0.131
2710,2110,11434090,0.138
2710,2260,12246940,0.145
2710,2410,13059790,0.16
2710,2560,13872640,0.159
2710,2710,14685490,0.163
2710,2860,15498340,0.174
2710,3010,16311190,0.184
2710,3160,17124040,0.184
2710,3310,17936890,0.199
2710,3460,18749740,0.197
2710,3610,19562590,0.203
2710,3760,20375440,0.208
2710,3910,21188290,0.218
2710,4060,22001140,0.222
2710,4210,22813990,0.23
2710,4360,23626840,0.236
2710,4510,24439690,0.243
2710,4660,25252540,0.258
2710,4810,26065390,0.258
2710,4960,26878240,0.277
2710,5110,27691090,0.269
2710,5260,28503940,0.277
2710,5410,29316790,0.286
2710,5560,30129640,0.288
2710,5710,30942490,0.294
2710,5860,31755340,0.302
2710,6010,32568190,0.308
2710,6160,33381040,0.315
2710,6310,34193890,0.322
2710,6460,35006740,0.343
2710,6610,35819590,0.335
2710,6760,36632440,0.347
2710,6910,37445290,0.348
2710,7060,38258140,0.354
2710,7210,39070990,0.368
2710,7360,39883840,0.368
2710,7510,40696690,0.374
2710,7660,41509540,0.38
