HW,kernel,stride,Cin,latency
112,3,4,603,0.215
112,3,4,653,0.227
112,3,4,703,0.242
112,3,4,753,0.253
112,3,4,803,0.267
112,3,4,853,0.279
112,3,4,903,0.29
112,3,4,953,0.302
112,3,4,1003,0.314
112,5,1,3,0.045
112,5,1,53,0.251
112,5,1,103,0.445
112,5,1,153,0.643
112,5,1,203,0.837
112,5,1,253,1.036
112,5,1,303,1.237
112,5,1,353,1.434
112,5,1,403,1.633
112,5,1,453,1.826
112,5,1,503,2.023
112,5,1,553,2.23
112,5,1,603,2.421
112,5,1,653,2.611
112,5,1,703,2.803
112,5,1,753,2.997
112,5,1,803,3.194
112,5,1,853,3.387
112,5,1,903,3.579
112,5,1,953,3.774
112,5,1,1003,3.967
112,5,2,3,0.042
112,5,2,53,0.098
112,5,2,103,0.154
112,5,2,153,0.21
112,5,2,203,0.266
112,5,2,253,0.326
112,5,2,303,0.377
112,5,2,353,0.438
112,5,2,403,0.495
112,5,2,453,0.547
112,5,2,503,0.602
112,5,2,553,0.659
112,5,2,603,0.697
112,5,2,653,0.755
112,5,2,703,0.807
112,5,2,753,0.861
112,5,2,803,0.911
112,5,2,853,0.97
112,5,2,903,1.02
112,5,2,953,1.073
112,5,2,1003,1.126
112,5,4,3,0.043
112,5,4,53,0.066
112,5,4,103,0.077
112,5,4,153,0.101
112,5,4,203,0.117
112,5,4,253,0.139
112,5,4,303,0.158
112,5,4,353,0.194
112,5,4,403,0.213
112,5,4,453,0.23
112,5,4,503,0.252
112,5,4,553,0.273
112,5,4,603,0.289
112,5,4,653,0.305
112,5,4,703,0.318
112,5,4,753,0.337
112,5,4,803,0.353
112,5,4,853,0.371
112,5,4,903,0.385
112,5,4,953,0.403
112,5,4,1003,0.423
112,7,1,3,0.051
112,7,1,53,0.369
112,7,1,103,0.674
112,7,1,153,0.982
112,7,1,203,1.288
112,7,1,253,1.599
112,7,1,303,1.909
112,7,1,353,2.216
112,7,1,403,2.527
112,7,1,453,2.833
112,7,1,503,3.141
112,7,1,553,3.445
112,7,1,603,3.75
112,7,1,653,4.054
112,7,1,703,4.363
112,7,1,753,4.666
112,7,1,803,4.971
112,7,1,853,5.276
112,7,1,903,5.578
112,7,1,953,5.883
112,7,1,1003,6.188
112,7,2,3,0.065
112,7,2,53,0.134
112,7,2,103,0.215
112,7,2,153,0.295
112,7,2,203,0.381
112,7,2,253,0.467
112,7,2,303,0.554
112,7,2,353,0.637
112,7,2,403,0.723
112,7,2,453,0.809
112,7,2,503,0.889
112,7,2,553,0.973
112,7,2,603,1.053
112,7,2,653,1.136
112,7,2,703,1.219
112,7,2,753,1.298
112,7,2,803,1.38
112,7,2,853,1.461
112,7,2,903,1.541
112,7,2,953,1.625
112,7,2,1003,1.703
112,7,4,3,0.045
112,7,4,53,0.078
112,7,4,103,0.105
112,7,4,153,0.134
112,7,4,203,0.167
112,7,4,253,0.222
112,7,4,303,0.243
112,7,4,353,0.258
112,7,4,403,0.283
112,7,4,453,0.313
112,7,4,503,0.342
112,7,4,553,0.371
112,7,4,603,0.4
112,7,4,653,0.422
112,7,4,703,0.453
112,7,4,753,0.479
112,7,4,803,0.504
112,7,4,853,0.531
112,7,4,903,0.557
112,7,4,953,0.583
112,7,4,1003,0.609
112,9,1,3,0.063
112,9,1,53,0.525
112,9,1,103,0.973
112,9,1,153,1.419
112,9,1,203,1.875
112,9,1,253,2.321
112,9,1,303,2.774
112,9,1,353,3.223
112,9,1,403,3.673
112,9,1,453,4.121
112,9,1,503,4.573
112,9,1,553,5.019
112,9,1,603,5.473
112,9,1,653,5.912
112,9,1,703,6.36
112,9,1,753,6.806
112,9,1,803,7.251
112,9,1,853,7.698
112,9,1,903,8.142
112,9,1,953,8.578
112,9,1,1003,9.026
112,9,2,3,0.053
112,9,2,53,0.179
112,9,2,103,0.294
112,9,2,153,0.411
112,9,2,203,0.529
112,9,2,253,0.652
112,9,2,303,0.766
112,9,2,353,0.887
112,9,2,403,1.008
112,9,2,453,1.13
112,9,2,503,1.249
112,9,2,553,1.373
112,9,2,603,1.489
112,9,2,653,1.608
112,9,2,703,1.729
112,9,2,753,1.844
112,9,2,803,1.96
112,9,2,853,2.078
112,9,2,903,2.193
112,9,2,953,2.313
112,9,2,1003,2.433
112,9,4,3,0.053
112,9,4,53,0.102
112,9,4,103,0.139
112,9,4,153,0.181
112,9,4,203,0.224
112,9,4,253,0.267
112,9,4,303,0.311
112,9,4,353,0.353
112,9,4,403,0.395
112,9,4,453,0.442
112,9,4,503,0.487
112,9,4,553,0.539
112,9,4,603,0.58
112,9,4,653,0.62
112,9,4,703,0.657
112,9,4,753,0.701
112,9,4,803,0.74
112,9,4,853,0.784
112,9,4,903,0.832
112,9,4,953,0.869
112,9,4,1003,0.91
56,1,1,3,0.042
56,1,1,53,0.055
56,1,1,103,0.074
56,1,1,153,0.093
56,1,1,203,0.109
56,1,1,253,0.128
56,1,1,303,0.143
56,1,1,353,0.16
56,1,1,403,0.178
56,1,1,453,0.193
56,1,1,503,0.21
56,1,1,553,0.227
56,1,1,603,0.242
56,1,1,653,0.259
56,1,1,703,0.276
56,1,1,753,0.293
56,1,1,803,0.31
56,1,1,853,0.325
56,1,1,903,0.344
56,1,1,953,0.362
56,1,1,1003,0.376
56,1,2,3,0.039
56,1,2,53,0.052
56,1,2,103,0.055
56,1,2,153,0.054
56,1,2,203,0.059
56,1,2,253,0.063
56,1,2,303,0.077
56,1,2,353,0.074
56,1,2,403,0.078
56,1,2,453,0.083
56,1,2,503,0.087
56,1,2,553,0.092
56,1,2,603,0.095
56,1,2,653,0.098
56,1,2,703,0.104
56,1,2,753,0.108
56,1,2,803,0.113
56,1,2,853,0.119
56,1,2,903,0.12
56,1,2,953,0.129
56,1,2,1003,0.135
56,1,4,3,0.049
56,1,4,53,0.052
56,1,4,103,0.053
56,1,4,153,0.054
56,1,4,203,0.066
56,1,4,253,0.054
56,1,4,303,0.058
56,1,4,353,0.055
56,1,4,403,0.057
56,1,4,453,0.062
56,1,4,503,0.06
56,1,4,553,0.059
56,1,4,603,0.064
56,1,4,653,0.06
56,1,4,703,0.065
56,1,4,753,0.068
56,1,4,803,0.065
56,1,4,853,0.066
56,1,4,903,0.068
56,1,4,953,0.068
56,1,4,1003,0.072
56,3,1,3,0.043
56,3,1,53,0.071
56,3,1,103,0.101
56,3,1,153,0.13
56,3,1,203,0.161
56,3,1,253,0.192
56,3,1,303,0.231
56,3,1,353,0.26
56,3,1,403,0.341
56,3,1,453,0.32
56,3,1,503,0.346
56,3,1,553,0.368
56,3,1,603,0.41
56,3,1,653,0.439
56,3,1,703,0.459
56,3,1,753,0.492
56,3,1,803,0.544
56,3,1,853,0.554
56,3,1,903,0.578
56,3,1,953,0.606
56,3,1,1003,0.638
56,3,2,3,0.04
56,3,2,53,0.052
56,3,2,103,0.061
56,3,2,153,0.069
56,3,2,203,0.076
56,3,2,253,0.081
56,3,2,303,0.096
56,3,2,353,0.097
56,3,2,403,0.104
56,3,2,453,0.114
56,3,2,503,0.12
56,3,2,553,0.129
56,3,2,603,0.137
56,3,2,653,0.145
56,3,2,703,0.156
56,3,2,753,0.158
56,3,2,803,0.17
56,3,2,853,0.18
56,3,2,903,0.185
56,3,2,953,0.193
56,3,2,1003,0.201
56,3,4,3,0.045
56,3,4,53,0.053
56,3,4,103,0.058
56,3,4,153,0.058
56,3,4,203,0.063
56,3,4,253,0.06
56,3,4,303,0.063
56,3,4,353,0.059
56,3,4,403,0.073
56,3,4,453,0.068
56,3,4,503,0.074
56,3,4,553,0.081
56,3,4,603,0.087
56,3,4,653,0.092
56,3,4,703,0.097
56,3,4,753,0.096
56,3,4,803,0.103
56,3,4,853,0.109
56,3,4,903,0.116
56,3,4,953,0.121
56,3,4,1003,0.121
56,5,1,3,0.057
56,5,1,53,0.094
56,5,1,103,0.146
56,5,1,153,0.193
56,5,1,203,0.245
56,5,1,253,0.294
56,5,1,303,0.342
56,5,1,353,0.391
56,5,1,403,0.441
56,5,1,453,0.491
56,5,1,503,0.538
56,5,1,553,0.587
56,5,1,603,0.641
56,5,1,653,0.686
56,5,1,703,0.736
56,5,1,753,0.792
56,5,1,803,0.836
56,5,1,853,0.882
56,5,1,903,0.93
56,5,1,953,0.982
56,5,1,1003,1.029
56,5,2,3,0.04
56,5,2,53,0.061
56,5,2,103,0.069
56,5,2,153,0.082
56,5,2,203,0.096
56,5,2,253,0.109
56,5,2,303,0.125
56,5,2,353,0.14
56,5,2,403,0.152
56,5,2,453,0.166
56,5,2,503,0.181
56,5,2,553,0.194
56,5,2,603,0.205
56,5,2,653,0.219
56,5,2,703,0.233
56,5,2,753,0.249
56,5,2,803,0.265
56,5,2,853,0.279
56,5,2,903,0.288
56,5,2,953,0.299
56,5,2,1003,0.328
56,5,4,3,0.04
56,5,4,53,0.055
56,5,4,103,0.053
56,5,4,153,0.056
56,5,4,203,0.075
56,5,4,253,0.067
56,5,4,303,0.071
56,5,4,353,0.077
56,5,4,403,0.082
56,5,4,453,0.09
56,5,4,503,0.092
56,5,4,553,0.098
56,5,4,603,0.109
56,5,4,653,0.109
56,5,4,703,0.114
56,5,4,753,0.12
56,5,4,803,0.119
56,5,4,853,0.124
56,5,4,903,0.13
56,5,4,953,0.148
56,5,4,1003,0.146
56,7,1,3,0.043
56,7,1,53,0.126
56,7,1,103,0.205
56,7,1,153,0.282
56,7,1,203,0.359
56,7,1,253,0.433
56,7,1,303,0.515
56,7,1,353,0.587
56,7,1,403,0.665
56,7,1,453,0.742
56,7,1,503,0.82
56,7,1,553,0.894
56,7,1,603,0.973
