HW,output,Cin,latency
56,32,753,0.192
56,32,783,0.201
56,32,813,0.205
56,32,843,0.209
56,32,873,0.212
56,32,903,0.218
56,32,933,0.226
56,32,963,0.237
56,32,993,0.243
56,32,1023,0.25
56,28,3,0.042
56,28,33,0.054
56,28,63,0.061
56,28,93,0.064
56,28,123,0.071
56,28,153,0.071
56,28,183,0.08
56,28,213,0.084
56,28,243,0.089
56,28,273,0.093
56,28,303,0.097
56,28,333,0.106
56,28,363,0.107
56,28,393,0.108
56,28,423,0.122
56,28,453,0.123
56,28,483,0.131
56,28,513,0.134
56,28,543,0.137
56,28,573,0.142
56,28,603,0.149
56,28,633,0.151
56,28,663,0.16
56,28,693,0.165
56,28,723,0.166
56,28,753,0.169
56,28,783,0.175
56,28,813,0.182
56,28,843,0.189
56,28,873,0.192
56,28,903,0.202
56,28,933,0.21
56,28,963,0.211
56,28,993,0.217
56,28,1023,0.219
56,27,3,0.044
56,27,33,0.065
56,27,63,0.073
56,27,93,0.078
56,27,123,0.087
56,27,153,0.083
56,27,183,0.107
56,27,213,0.102
56,27,243,0.111
56,27,273,0.113
56,27,303,0.123
56,27,333,0.14
56,27,363,0.143
56,27,393,0.147
56,27,423,0.155
56,27,453,0.164
56,27,483,0.176
56,27,513,0.18
56,27,543,0.181
56,27,573,0.192
56,27,603,0.199
56,27,633,0.201
56,27,663,0.216
56,27,693,0.222
56,27,723,0.233
56,27,753,0.237
56,27,783,0.243
56,27,813,0.255
56,27,843,0.264
56,27,873,0.265
56,27,903,0.273
56,27,933,0.28
56,27,963,0.288
56,27,993,0.295
56,27,1023,0.305
56,14,3,0.04
56,14,33,0.056
56,14,63,0.059
56,14,93,0.062
56,14,123,0.065
56,14,153,0.065
56,14,183,0.073
56,14,213,0.075
56,14,243,0.076
56,14,273,0.077
56,14,303,0.082
56,14,333,0.091
56,14,363,0.094
56,14,393,0.098
56,14,423,0.1
56,14,453,0.103
56,14,483,0.11
56,14,513,0.113
56,14,543,0.115
56,14,573,0.117
56,14,603,0.119
56,14,633,0.123
56,14,663,0.156
56,14,693,0.154
56,14,723,0.162
56,14,753,0.155
56,14,783,0.161
56,14,813,0.17
56,14,843,0.169
56,14,873,0.161
56,14,903,0.161
56,14,933,0.168
56,14,963,0.174
56,14,993,0.177
56,14,1023,0.174
56,13,3,0.04
56,13,33,0.055
56,13,63,0.061
56,13,93,0.066
56,13,123,0.072
56,13,153,0.071
56,13,183,0.085
56,13,213,0.086
56,13,243,0.092
56,13,273,0.09
56,13,303,0.096
56,13,333,0.109
56,13,363,0.111
56,13,393,0.111
56,13,423,0.117
56,13,453,0.125
56,13,483,0.133
56,13,513,0.137
56,13,543,0.136
56,13,573,0.146
56,13,603,0.152
56,13,633,0.148
56,13,663,0.157
56,13,693,0.16
56,13,723,0.173
56,13,753,0.169
56,13,783,0.176
56,13,813,0.183
56,13,843,0.191
56,13,873,0.195
56,13,903,0.201
56,13,933,0.202
56,13,963,0.211
56,13,993,0.212
56,13,1023,0.22
56,8,3,0.04
56,8,33,0.053
56,8,63,0.055
56,8,93,0.06
56,8,123,0.066
56,8,153,0.067
56,8,183,0.072
56,8,213,0.073
56,8,243,0.077
56,8,273,0.078
56,8,303,0.082
56,8,333,0.096
56,8,363,0.093
56,8,393,0.096
56,8,423,0.097
56,8,453,0.103
56,8,483,0.109
56,8,513,0.107
56,8,543,0.112
56,8,573,0.116
56,8,603,0.119
56,8,633,0.123
56,8,663,0.128
56,8,693,0.131
56,8,723,0.139
56,8,753,0.141
56,8,783,0.147
56,8,813,0.146
56,8,843,0.15
56,8,873,0.15
56,8,903,0.156
56,8,933,0.162
56,8,963,0.169
56,8,993,0.174
56,8,1023,0.178
56,7,3,0.04
